City,Price,Price_clean
Cainta,"₱ 6,800,000",6800000.0
Cainta,"₱ 16,000,000",16000000.0
Cainta,"₱ 8,000,000",8000000.0
Cainta,"₱ 30,000,000",30000000.0
Cainta,"₱ 25,000,000",25000000.0
Cainta,"₱ 42,000,000",42000000.0
Cainta,"₱ 16,000,000",16000000.0
Cainta,"₱ 17,800,000",17800000.0
Cainta,"₱ 6,500,000",6500000.0
Cainta,"₱ 17,800,000",17800000.0
Cainta,"₱ 7,100,000",7100000.0
Cainta,"₱ 28,500,000",28500000.0
Cainta,"₱ 17,000,000",17000000.0
Cainta,"₱ 21,600,000",21600000.0
Cainta,"₱ 7,600,000",7600000.0
Cainta,"₱ 28,000,000",28000000.0
Cainta,"₱ 18,800,000",18800000.0
Cainta,"₱ 19,500,000",19500000.0
Cainta,"₱ 27,300,000",27300000.0
Cainta,"₱ 26,000,000",26000000.0
Rodriguez,"₱ 2,370,000",2370000.0
Rodriguez,"₱ 6,549,000",6549000.0
Rodriguez,"₱ 20,000,000",20000000.0
Rodriguez,"₱ 6,549,000",6549000.0
Rodriguez,"₱ 4,150,000",4150000.0
Rodriguez,"₱ 4,150,000",4150000.0
Rodriguez,"₱ 4,150,000",4150000.0
Rodriguez,"₱ 4,150,000",4150000.0
Rodriguez,"₱ 4,150,000",4150000.0
Rodriguez,"₱ 4,150,000",4150000.0
Rodriguez,"₱ 2,370,000",2370000.0
Rodriguez,"₱ 3,000,000",3000000.0
Rodriguez,"₱ 4,106,576",4106576.0
Rodriguez,"₱ 4,106,000",4106000.0
Rodriguez,"₱ 4,686,000",4686000.0
Rodriguez,"₱ 4,106,000",4106000.0
Rodriguez,"₱ 2,900,000",2900000.0
Rodriguez,"₱ 2,900,000",2900000.0
Rodriguez,"₱ 2,900,000",2900000.0
Rodriguez,"₱ 2,300,000",2300000.0
Rodriguez,"₱ 4,686,989",4686989.0
Rodriguez,"₱ 4,461,110",4461110.0
Rodriguez,"₱ 4,686,989",4686989.0
Rodriguez,"₱ 9,800,000",9800000.0
Rodriguez,"₱ 6,500,000",6500000.0
Rodriguez,"₱ 4,686,989",4686989.0
Rodriguez,"₱ 50,000,000",50000000.0
Rodriguez,"₱ 9,000,000",9000000.0
San Fernando,"₱ 9,842,000",9842000.0
San Fernando,"₱ 60,000,000",60000000.0
San Fernando,"₱ 20,000,000",20000000.0
San Fernando,"₱ 22,000,000",22000000.0
San Fernando,"₱ 1,656,000",1656000.0
San Fernando,"₱ 2,073,000",2073000.0
San Fernando,"₱ 1,922,000",1922000.0
San Fernando,"₱ 6,600,000",6600000.0
San Fernando,"₱ 5,500,000",5500000.0
San Fernando,"₱ 3,595,200",3595200.0
San Fernando,"₱ 4,945,000",4945000.0
