cat__team_Alpine Renault,cat__team_Aston Martin Aramco Mercedes,cat__team_Ferrari,cat__team_McLaren,cat__team_McLaren Mercedes,cat__team_McLaren Renault,cat__team_Mercedes,cat__team_Red Bull Racing,cat__team_Red Bull Racing Honda,cat__team_Red Bull Racing Honda RBPT,cat__team_Red Bull Racing RBPT,cat__team_Renault,cat__team_Williams,cat__team_Williams Mercedes,cat__team_infrequent_sklearn,cat__Direction_Anti-clockwise,cat__Direction_Clockwise,num__Consistency_Qual,num__Style_Qual,num__Technical_Qual,num__Pace_Qual,PerformanceIndex_Qual,num__Round,num__year,num__QualifyingPosition,num__Laps,num__Corners,num__Circuit length (km),num__Race distance (km),num__Accident,num__Collision,num__Damage Related,num__Finish,num__Total_Entries,num__Finish_pct,num__Accident_pct,num__Collision_pct,num__Damage Related_pct,num__DNF_pct,num__Race_Complexity_Score,num__Safety_Index,num__mechanical_faults,num__avg_stops_per_car_race,num__avg_pitstop_ms,Actual,Predicted,driver_code,GrandPrix,year,team,RaceFinishPosition
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.990890137,0.66099765,0.429533758,1.0,0.770355386,3.0,2025.0,1.0,53.0,18.0,5.807,307.471,7.0,5.0,0.0,89.0,101.0,88.11881188118812,6.930693069306932,4.950495049504951,0.0,11.881188118811878,0.4176237623762375,0.4635643564356436,0.0,1.891619661520753,160011.28021529358,1,1,VER,Japanese Grand Prix,2025,Red Bull Racing,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.996930152,0.5,0.694366494,0.909090909,0.775096889,3.0,2025.0,3.0,53.0,18.0,5.807,307.471,7.0,5.0,0.0,89.0,101.0,88.11881188118812,6.930693069306932,4.950495049504951,0.0,11.881188118811878,0.4176237623762375,0.4635643564356436,0.0,1.891619661520753,160011.28021529358,1,1,PIA,Japanese Grand Prix,2025,McLaren,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.99493644,0.025712688,0.964387686,0.772727273,0.689441022,6.0,2025.0,6.0,57.0,19.0,5.41,308.326,0.0,3.0,0.0,52.0,55.0,94.54545454545456,0.0,5.454545454545454,0.0,5.454545454545453,0.2990909090909091,0.6463636363636364,0.0,1.891619661520753,160011.28021529358,0,0,SAI,Miami Grand Prix,2025,Williams,9.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.999582361,0.43293567,0.385057182,0.791666667,0.65231047,16.0,2025.0,6.0,53.0,11.0,5.793,306.72,2.0,6.0,0.0,126.0,134.0,94.02985074626866,1.4925373134328357,4.477611940298507,0.0,5.970149253731336,0.2294029850746267,0.7108955223880599,0.0,1.891619661520753,160011.28021529358,0,0,RUS,Italian Grand Prix,2025,Mercedes,5.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.99576864,0.508849811,0.492218258,0.8125,0.702334177,19.0,2025.0,4.0,56.0,20.0,5.513,308.405,4.0,10.0,1.0,99.0,114.0,86.8421052631579,3.508771929824561,8.771929824561402,0.8771929824561403,13.157894736842096,0.463157894736842,0.4052631578947371,0.0,1.891619661520753,160011.28021529358,0,0,RUS,United States Grand Prix,2025,Mercedes,6.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.208271597,0.473535909,0.344409233,0.821428571,0.461911328,2.0,2025.0,6.0,56.0,16.0,5.451,305.066,1.0,4.0,0.0,80.0,85.0,94.11764705882352,1.1764705882352942,4.705882352941177,0.0,5.882352941176478,0.2776470588235294,0.6635294117647057,0.0,1.891619661520753,160011.28021529358,0,0,LEC,Chinese Grand Prix,2025,Ferrari,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.651267032,0.315233531,0.5,0.366625141,14.0,2025.0,13.0,70.0,14.0,4.381,306.63,4.0,9.0,0.0,90.0,103.0,87.37864077669903,3.883495145631068,8.737864077669903,0.0,12.62135922330097,0.3924271844660194,0.4813592233009709,0.0,1.891619661520753,160011.28021529358,0,0,SAI,Hungarian Grand Prix,2025,Williams,14.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.997083275,0.446398967,0.202524661,0.863636364,0.627410817,3.0,2025.0,4.0,53.0,18.0,5.807,307.471,7.0,5.0,0.0,89.0,101.0,88.11881188118812,6.930693069306932,4.950495049504951,0.0,11.881188118811878,0.4176237623762375,0.4635643564356436,0.0,1.891619661520753,160011.28021529358,0,0,LEC,Japanese Grand Prix,2025,Ferrari,4.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.997634553,9.05e-19,0.901059051,0.5,0.599673401,6.0,2025.0,12.0,57.0,19.0,5.41,308.326,0.0,3.0,0.0,52.0,55.0,94.54545454545456,0.0,5.454545454545454,0.0,5.454545454545453,0.2990909090909091,0.6463636363636364,0.0,1.891619661520753,160011.28021529358,0,0,HAM,Miami Grand Prix,2025,Ferrari,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.493743834,0.616175967,0.846153846,0.739018412,8.0,2025.0,5.0,78.0,19.0,3.337,260.286,11.0,13.0,0.0,98.0,122.0,80.32786885245902,9.01639344262295,10.655737704918032,0.0,19.67213114754098,0.5834426229508196,0.2198360655737705,0.0,1.891619661520753,160011.28021529358,0,0,VER,Monaco Grand Prix,2025,Red Bull Racing,4.0
