race_name,year,Total_Entries,Race_Complexity_Score,Safety_Index,Accident,Collision,Mechanical or Physical Fault,Disqualification,Behind on Laps,Damage Related,Finish
French Grand Prix,2019,20.0,0.08,0.92,0.0,0.0,1.0,0.0,13.0,0.0,6.0
German Grand Prix,2019,20.0,0.13,0.87,4.0,1.0,2.0,0.0,0.0,0.0,13.0
Hungarian Grand Prix,2019,20.0,0.09,0.91,0.0,0.0,1.0,0.0,15.0,0.0,4.0
Italian Grand Prix,2019,20.0,0.09,0.91,0.0,0.0,3.0,0.0,9.0,0.0,8.0
Japanese Grand Prix,2019,20.0,0.095,0.905,0.0,0.0,1.0,2.0,12.0,0.0,5.0
Mexican Grand Prix,2019,20.0,0.08,0.92,0.0,0.0,2.0,0.0,10.0,0.0,8.0
Monaco Grand Prix,2019,20.0,0.06000000000000001,0.94,0.0,1.0,0.0,0.0,8.0,0.0,11.0
Russian Grand Prix,2019,20.0,0.08499999999999999,0.915,0.0,2.0,3.0,0.0,0.0,0.0,15.0
Singapore Grand Prix,2019,20.0,0.05500000000000001,0.945,0.0,2.0,1.0,0.0,0.0,0.0,17.0
Spanish Grand Prix,2019,20.0,0.05,0.95,0.0,2.0,0.0,0.0,2.0,0.0,16.0
United States Grand Prix,2019,20.0,0.10500000000000001,0.895,0.0,0.0,4.0,0.0,9.0,0.0,7.0
70th Anniversary Grand Prix,2020,20.0,0.045000000000000005,0.955,0.0,0.0,1.0,0.0,6.0,0.0,13.0
Abu Dhabi Grand Prix,2020,20.0,0.06,0.94,0.0,0.0,1.0,0.0,9.0,0.0,10.0
Austrian Grand Prix,2020,20.0,0.13499999999999998,0.865,0.0,0.0,9.0,0.0,0.0,0.0,11.0
Bahrain Grand Prix,2020,20.0,0.095,0.905,0.0,2.0,1.0,0.0,8.0,0.0,9.0
Belgian Grand Prix,2020,20.0,0.05500000000000001,0.945,1.0,0.0,1.0,0.0,0.0,1.0,17.0
